P1527,2019-05-16,0 days 02:57:49.196000
P1527,2019-05-17,0 days 09:18:14.190000
P1527,2019-05-18,0 days 11:30:50.667000
P1527,2019-05-19,0 days 08:22:30.593000
P1527,2019-05-20,0 days 10:29:12.008000
P1527,2019-05-21,0 days 12:41:33.308000
P1527,2019-05-22,0 days 12:11:03.448000
P1527,2019-05-23,0 days 02:48:44.431000
P1501,2019-05-17,0 days 11:19:51.904000
P1501,2019-05-18,0 days 09:29:12.299000
P1501,2019-05-19,0 days 13:46:07.909000
P1501,2019-05-20,0 days 12:31:33.534000
P1501,2019-05-21,0 days 09:53:21.885000
P1501,2019-05-22,0 days 07:40:06.620000
P1507,2019-05-17,0 days 05:48:05.941000
P1507,2019-05-18,0 days 14:09:47.560000
P1507,2019-05-19,0 days 10:08:30.274000
P1507,2019-05-20,0 days 04:53:46.918000
P1507,2019-05-21,0 days 11:13:45.925000
P1507,2019-05-22,0 days 02:34:26.843000
P0706,2019-05-09,0 days 06:46:01.613000
P0706,2019-05-10,0 days 06:23:11.092000
P0706,2019-05-14,0 days 06:25:28.365000
P0706,2019-05-15,0 days 06:09:02.875000
P1504,2019-05-17,0 days 11:34:31.780000
P1504,2019-05-18,0 days 10:20:52.144000
P1504,2019-05-20,0 days 03:16:02.141000
P1504,2019-05-21,0 days 09:23:13.109000
P1504,2019-05-22,0 days 07:08:25.852000
P1506,2019-05-17,0 days 08:41:31.833000
P1506,2019-05-18,0 days 07:44:09.874000
P1506,2019-05-19,0 days 08:01:25.866000
P1506,2019-05-20,0 days 10:23:42.030000
P1506,2019-05-21,0 days 09:09:04.619000
P1506,2019-05-22,0 days 08:08:04.752000
P3003,2019-04-30,0 days 04:18:09.618000
P3003,2019-05-01,0 days 06:39:11.730000
P3003,2019-05-02,0 days 14:12:09.650000
P3003,2019-05-03,0 days 06:21:52.680000
P3003,2019-05-04,0 days 20:10:35.390000
P3003,2019-05-05,0 days 12:09:17.112000
P3003,2019-05-06,0 days 18:10:32.006000
P3024,2019-05-01,0 days 02:34:14.421000
P3024,2019-05-03,0 days 09:27:15.991000
P3029,2019-05-01,0 days 05:26:16.942000
P3029,2019-05-02,0 days 04:40:55.192000
P3029,2019-05-03,0 days 08:41:26.671000
P3029,2019-05-04,0 days 07:49:17.717000
P3029,2019-05-05,0 days 07:03:13.782000
P3029,2019-05-06,0 days 08:12:00.163000
P3027,2019-04-30,0 days 03:27:03.778000
P3027,2019-05-01,0 days 10:54:53.531000
P3027,2019-05-02,0 days 15:34:14.834000
P3027,2019-05-03,0 days 21:51:40.417000
P3027,2019-05-04,0 days 20:39:26.355000
P0711,2019-05-09,0 days 04:34:10.958000
P0711,2019-05-10,0 days 06:53:26.850000
P0711,2019-05-11,0 days 07:58:26.805000
P0711,2019-05-12,0 days 07:08:05.836000
P0711,2019-05-13,0 days 07:49:21.735000
P0711,2019-05-14,0 days 08:38:11.622000
P0711,2019-05-15,0 days 08:55:48.700000
P1519,2019-05-16,0 days 02:55:57.813000
P1519,2019-05-17,0 days 06:26:30.325000
P1519,2019-05-18,0 days 11:14:17.132000
P1519,2019-05-19,0 days 12:25:42.462000
P1519,2019-05-20,0 days 18:08:06.916000
P1519,2019-05-21,0 days 10:22:44.379000
P1519,2019-05-22,0 days 18:51:21.651000
P0703,2019-05-09,0 days 06:30:38.158000
P0703,2019-05-10,0 days 07:57:37.519000
P0703,2019-05-11,0 days 06:58:44.210000
P0703,2019-05-12,0 days 09:09:03.222000
P0703,2019-05-13,0 days 12:23:38.945000
P0703,2019-05-14,0 days 13:32:19.386000
P0703,2019-05-15,0 days 09:39:09.685000
P3030,2019-05-01,0 days 13:07:20.412000
P3030,2019-05-02,0 days 07:27:10.738000
P3030,2019-05-03,0 days 07:10:22.369000
P3030,2019-05-04,0 days 11:54:09.357000
P3030,2019-05-05,0 days 08:00:41.551000
P3030,2019-05-06,0 days 08:50:52.951000
P0708,2019-05-09,0 days 12:50:48.762000
P0708,2019-05-10,0 days 14:06:22.484000
P0708,2019-05-11,0 days 13:24:17.139000
P0708,2019-05-12,0 days 23:31:02.879000
P0708,2019-05-13,0 days 12:21:30.629000
P0708,2019-05-14,0 days 17:31:20.685000
P1515,2019-05-17,0 days 06:22:15.245000
P1515,2019-05-18,0 days 16:12:44.039000
P1515,2019-05-19,0 days 07:53:31.429000
P1515,2019-05-20,0 days 11:20:58.429000
P1515,2019-05-21,0 days 18:02:45.851000
P1515,2019-05-22,0 days 04:00:56.909000
P1515,2019-05-23,0 days 02:31:00.078000
P0728,2019-05-09,0 days 03:46:18.586000
P0728,2019-05-10,0 days 06:50:39.061000
P0728,2019-05-11,0 days 07:45:50.619000
P0728,2019-05-12,0 days 10:37:18.004000
P0728,2019-05-13,0 days 05:20:59.553000
P0728,2019-05-14,0 days 11:41:16.941000
P3014,2019-05-01,0 days 07:05:29.751000
P3014,2019-05-02,0 days 06:28:00.277000
P0705,2019-05-08,0 days 03:19:23.956000
P0705,2019-05-09,0 days 11:15:02.895000
P0705,2019-05-10,0 days 04:54:53.702000
P0705,2019-05-11,0 days 12:24:20.781000
P0705,2019-05-12,0 days 12:42:18.953000
P0705,2019-05-13,0 days 05:32:27.176000
P0705,2019-05-14,0 days 09:51:42.269000
P0705,2019-05-15,0 days 07:04:07.113000
P3022,2019-05-01,0 days 08:58:48.411000
P3022,2019-05-02,0 days 11:39:49.594000
P3022,2019-05-03,0 days 08:27:40.290000
P3022,2019-05-04,0 days 11:23:00.862000
P3022,2019-05-05,0 days 06:02:27.321000
P3022,2019-05-06,0 days 14:37:23.739000
P3022,2019-05-07,0 days 04:53:12.119000
P0704,2019-05-08,0 days 03:02:59.923000
P0704,2019-05-09,0 days 06:29:47.686000
P0704,2019-05-10,0 days 06:12:36.816000
P0704,2019-05-11,0 days 06:23:55.498000
P0704,2019-05-12,0 days 08:09:57.975000
P0704,2019-05-13,0 days 08:09:51.306000
P0704,2019-05-14,0 days 06:03:45.681000
P0725,2019-05-09,0 days 05:29:03.260000
P0725,2019-05-10,0 days 12:35:18.203000
P0725,2019-05-11,0 days 06:52:59.813000
P0725,2019-05-12,0 days 16:51:08.104000
P0725,2019-05-13,0 days 07:08:27.886000
P0725,2019-05-14,0 days 06:25:26.073000
P0717,2019-05-08,0 days 07:42:06.127000
P0717,2019-05-09,0 days 13:37:52.193000
P0717,2019-05-10,0 days 09:02:06.272000
P0717,2019-05-11,0 days 04:09:43.830000
P0717,2019-05-12,0 days 16:05:15.677000
P0717,2019-05-13,0 days 10:01:13.489000
P0717,2019-05-14,0 days 09:43:42.946000
P0717,2019-05-15,0 days 05:11:15.812000
P0727,2019-05-09,0 days 05:54:57.068000
P0727,2019-05-10,0 days 11:24:13.645000
P0727,2019-05-11,0 days 02:40:06.806000
P0727,2019-05-12,0 days 09:22:01.177000
P0727,2019-05-13,0 days 05:15:56.837000
P0727,2019-05-14,0 days 06:42:35.043000
P1510,2019-05-17,0 days 20:54:58.204000
P1510,2019-05-18,0 days 19:11:31.639000
P1510,2019-05-19,0 days 14:10:24.017000
P1510,2019-05-20,0 days 16:53:37.958000
P1510,2019-05-21,0 days 09:15:14.044000
P1510,2019-05-22,0 days 18:30:57.478000
P1510,2019-05-23,0 days 03:34:45.411000
P3017,2019-05-01,0 days 12:18:57.186000
P3017,2019-05-02,0 days 04:15:21.484000
P3017,2019-05-03,0 days 02:36:03.027000
P3017,2019-05-04,0 days 14:55:36.697000
P3017,2019-05-06,0 days 14:07:56.281000
P3018,2019-05-01,0 days 11:24:56.692000
P3018,2019-05-02,0 days 09:36:06.701000
P3018,2019-05-03,0 days 05:25:34.736000
P3018,2019-05-04,0 days 12:01:32.928000
P3018,2019-05-05,0 days 11:19:30.167000
P3018,2019-05-06,0 days 09:42:06.609000
P1523,2019-05-17,0 days 08:35:22.680000
P1523,2019-05-18,0 days 09:36:30.458000
P1523,2019-05-19,0 days 11:44:37.222000
P1523,2019-05-20,0 days 12:14:12.899000
P1523,2019-05-21,0 days 11:03:05.905000
P1523,2019-05-22,0 days 11:15:45.966000
P1523,2019-05-23,0 days 10:18:36.491000
P0715,2019-05-09,0 days 05:40:14.872000
P0715,2019-05-10,0 days 15:30:20.771000
P0715,2019-05-11,0 days 05:12:35.407000
P0715,2019-05-12,0 days 09:13:09.755000
P0715,2019-05-14,0 days 09:32:15.177000
P3019,2019-05-01,0 days 11:40:09.794000
P3019,2019-05-02,0 days 10:00:46.176000
P3019,2019-05-03,0 days 07:39:30.439000
P3019,2019-05-04,0 days 08:08:12.616000
P3019,2019-05-05,0 days 16:04:58.132000
P3019,2019-05-06,0 days 09:48:20.582000
P1514,2019-05-17,0 days 10:56:57.121000
P1514,2019-05-18,0 days 14:03:15.567000
P1514,2019-05-19,0 days 13:27:04.171000
P1514,2019-05-20,0 days 11:24:49.879000
P1514,2019-05-21,0 days 12:09:40.791000
P1514,2019-05-22,0 days 11:06:52.381000
P3041,2019-05-02,0 days 07:24:15.724000
P3041,2019-05-03,0 days 07:40:10.923000
P3041,2019-05-04,0 days 13:11:08.601000
P3041,2019-05-05,0 days 15:55:48.897000
P3041,2019-05-06,0 days 17:56:30.841000
P0716,2019-05-09,0 days 03:41:45.967000
P0716,2019-05-10,0 days 03:42:58.403000
P0716,2019-05-11,0 days 07:13:40.157000
P0716,2019-05-12,0 days 12:26:51.424000
P0716,2019-05-13,0 days 04:20:17.901000
P0716,2019-05-14,0 days 10:45:23.528000
P1521,2019-05-17,0 days 04:52:46.523000
P1521,2019-05-18,0 days 06:36:53.748000
P1521,2019-05-19,0 days 15:25:18.329000
P1521,2019-05-20,0 days 07:44:04.329000
P1521,2019-05-21,0 days 09:35:45.012000
P1521,2019-05-22,0 days 06:35:54.733000
P0709,2019-05-09,0 days 07:21:19.075000
P0709,2019-05-10,0 days 07:57:33.170000
P0709,2019-05-11,0 days 09:54:00.322000
P0709,2019-05-12,0 days 10:04:47.178000
P0709,2019-05-13,0 days 06:17:54.590000
P0709,2019-05-14,0 days 10:34:36.277000
P1522,2019-05-17,0 days 08:25:08.641000
